State,City,Pincode,First Mile (TRUE/FALSE),Last Mile (TRUE/FALSE),Reverse Pickup (TRUE/FALSE),Route Code,COD Limit,Prepaid Limit,Doorstep Return (TRUE/FALSE),Doorstep QC (TRUE/FALSE),Pickup CutOff (11:30/17:00),Installation (TRUE/FALSE)
Haryana,Gurgaon,122414,True,True,,,,,False,True,,False
Haryana,Gurgaon,122502,True,True,,,,,False,True,,False
Haryana,Gurgaon,122503,True,True,,,,,False,True,,False
Haryana,Gurgaon,122504,True,False,,,,,False,True,,False
Haryana,Gurgaon,122505,True,True,,,,,False,True,,False
Haryana,Gurgaon,122506,True,False,,,,,False,True,,False
Haryana,Gurgaon,122508,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123001,True,True,,,,,False,True,,False
Haryana,Gurgaon,123003,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123021,False,True,,,,,False,True,,False
Haryana,Mahendragarh,123023,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123024,True,True,,,,,False,True,,False
Haryana,Rewari,123027,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123028,False,True,,,,,False,True,,False
Haryana,Mahendragarh,123029,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123034,True,True,,,,,False,True,,False
Haryana,Rewari,123035,True,True,,,,,False,True,,False
Haryana,Rewari,123101,True,True,,,,,False,True,,False
Haryana,Rewari,123102,True,True,,,,,False,True,,False
Haryana,Rewari,123103,True,True,,,,,False,True,,False
Haryana,Gurgaon,123106,True,True,,,,,False,True,,False
Haryana,Rewari,123110,True,True,,,,,False,True,,False
Haryana,Rewari,123301,False,True,,,,,False,True,,False
Haryana,Rewari,123302,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123303,True,True,,,,,False,True,,False
Haryana,Gurgaon,123401,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123411,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123412,True,True,,,,,False,True,,False
Haryana,Mahendragarh,123501,True,True,,,,,False,True,,False
Haryana,Gurgaon,123505,True,False,,,,,False,True,,False
Haryana,Rohtak,124001,True,True,,,,,False,True,,False
Haryana,Rohtak,124010,True,True,,,,,False,True,,False
Haryana,Rohtak,124021,True,True,,,,,False,True,,False
Haryana,Rohtak,124022,False,True,,,,,False,True,,False
Haryana,Jhajjar,124101,False,True,,,,,False,True,,False
Haryana,Jhajjar,124102,True,True,,,,,False,True,,False
Haryana,Jhajjar,124103,True,True,,,,,False,True,,False
Haryana,Jhajjar,124104,True,True,,,,,False,True,,False
